date,quant
2010-01-01,6
2011-04-01,5.8
2011-07-01,6.3
2011-09-01,7.8
2011-01-01,8.7
2012-04-01,8.7
2012-07-01,9.3
2012-09-01,8.6
2012-01-01,7.8
2013-04-01,8.5
2013-07-01,8.7
2013-09-01,9.2
2013-01-01,11.1
2014-04-01,12.5
2014-07-01,14.6
2014-09-01,16.3
2014-01-01,17.6
2015-04-01,18.7
2015-07-01,19.2
2015-09-01,20.4
2015-01-01,22.1
2016-04-01,21.9
2016-07-01,21.4
2016-09-01,20.6
2016-01-01,18.5
2017-04-01,18.3
2017-07-01,18.8
2017-09-01,19
2017-01-01,19.5
2018-04-01,20.9
2018-07-01,22.1
2018-09-01,24.2
2018-01-01,27
2019-04-01,27.6
2019-07-01,28.1
2019-09-01,26.9
2019-01-01,25.9
2020-04-01,29.3
2020-07-01,28.5
2020-09-01,30.4
2020-01-01,33.2
2021-04-01,35.7
2021-07-01,46.1
